Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2121 -0.14339261390762204 -10.4767215783192 0.0 0.0 0.0 0.0 0.12142191028224913 0.09717404485887543 0 0.024247865423373705 0.96991462 0. 4.37283202 2.91339551 8.25614215 
2122 -0.22333746739798244 -10.700059045717182 0.0 0.0 0.0 0.0 0.11934184380999252 0.09994907809500375 0 0.01939276571498877 0.77571063 3.33066907e-16 4.49770851 2.77469219 8.04811133 
2123 -0.27915933363999557 -10.979218379357178 0.0 0.0 0.0 0.0 0.11668168785215172 0.10301415607392414 0 0.013667531778227576 0.54670127 5.55111512e-17 4.63563702 2.60698439 7.78932269 
2124 -0.29590077480736454 -11.275119154164543 0.0 0.0 0.0 0.0 0.11443033529981414 0.10587483235009294 0 0.008555502949721197 0.34222012 0. 4.76436746 2.45971676 7.56630434 
2125 -0.2690759236269855 -11.544195077791528 0.0 0.0 0.0 0.0 0.11346714067404118 0.10809142966297941 0 0.005375711011061768 0.21502844 0. 4.86411433 2.37685703 7.45599981 
2126 -0.2058724675376311 -11.75006754532916 0.0 0.0 0.0 0.0 0.1143262977645377 0.10939685111773113 0 0.004929446646806571 0.19717787 3.60822483e-16 4.9228583 2.38511489 7.50515105 
2127 -0.1232257133479493 -11.873293258677108 0.0 0.0 0.0 0.0 0.11705370281194144 0.10976814859402928 0 0.00728555421791216 0.29142217 3.33066907e-16 4.93956669 2.48678514 7.717774 
2128 -0.04328078520370582 -11.916574043880814 0.0 0.0 0.0 0.0 0.12119465662775325 0.10943267168612336 0 0.011761984941629888 0.4704794 0. 4.92447023 2.65913283 8.05408245 
2129 0.012541143753594497 -11.90403290012722 0.0 0.0 0.0 0.0 0.12591570085836265 0.10880714957081868 0 0.017108551287543974 0.68434205 0. 4.89632173 2.86048504 8.44114883 
2130 0.029282637607025208 -11.874750262520195 0.0 0.0 0.0 0.0 0.13022794246408897 0.1083860287679555 0 0.021841913696133475 0.87367655 0. 4.87737129 3.04139712 8.79244497 
2131 0.0024578306871489985 -11.872292431833046 0.0 0.0 0.0 0.0 0.1332520267990301 0.10860898660048496 0 0.02464304019854513 0.98572161 0. 4.8874044 3.15790134 9.03102734 
2132 -0.06074558821967457 -11.93303802005272 0.0 0.0 0.0 0.0 0.13445375996861517 0.1097431200156924 0 0.02471063995292276 0.9884256 0. 4.9384404 3.183288 9.110154 
2133 -0.14339231117304507 -12.076430331225765 0.0 0.0 0.0 0.0 0.13378724564410177 0.11181137717794912 0 0.021975868466152654 0.87903474 0. 5.03151197 3.11526228 9.02580899 
2134 -0.22333721307632004 -12.299767544302085 0.0 0.0 0.0 0.0 0.13170718293997516 0.11458640853001241 0 0.01712077440996275 0.68483098 0. 5.15638838 2.97655915 8.81777851 
2135 -0.2791591199889467 -12.578926664291032 0.0 0.0 0.0 0.0 0.12904703014767638 0.11765148492616181 0 0.011395545221514564 0.45582181 2.77555756e-16 5.29431682 2.80885151 8.55899014 
2136 -0.2959005953230758 -12.874827259614108 0.0 0.0 0.0 0.0 0.12679568025464952 0.12051215987267523 0 0.006283520381974286 0.25134082 1.38777878e-16 5.42304719 2.66158401 8.33597202 
2137 -0.26907577284555373 -13.143903032459662 0.0 0.0 0.0 0.0 0.12583248786291457 0.12272875606854272 0 0.0031037317943718445 0.12414927 4.4408921e-16 5.52279402 2.57872439 8.22566769 
2138 -0.2058723408688934 -13.349775373328555 0.0 0.0 0.0 0.0 0.1266916468301867 0.12403417658490665 0 0.0026574702452800414 0.10629881 1.66533454e-16 5.58153795 2.58698234 8.2748191 
2139 -0.12322560693593232 -13.473000980264487 0.0 0.0 0.0 0.0 0.12941905345423232 0.12440547327288384 0 0.0050135801813484815 0.20054321 5.55111512e-17 5.5982463 2.68865267 8.48744218 
2140 -0.04328069580890315 -13.51628167607339 0.0 0.0 0.0 0.0 0.13356000859455402 0.12406999570272298 0 0.009490012891831046 0.37960052 0. 5.58314981 2.86100043 8.82375075 
2141 0.012541218852561542 -13.503740457220829 0.0 0.0 0.0 0.0 0.13828105393786072 0.12344447303106965 0 0.014836580906791075 0.59346324 2.22044605e-16 5.55500129 3.0623527 9.21081722 
2142 0.029282700696228403 -13.4744577565246 0.0 0.0 0.0 0.0 0.14259329647834076 0.12302335176082961 0 0.019569944717511153 0.78279779 2.22044605e-16 5.53605083 3.24326482 9.56211344 
2143 0.0024578836873274668 -13.471999872837273 0.0 0.0 0.0 0.0 0.145617381598556 0.123246309200722 0 0.022371072397833994 0.8948429 2.22044605e-16 5.54608391 3.35976908 9.80069589 
2144 -0.060745543695304605 -13.532745416532578 0.0 0.0 0.0 0.0 0.14681911542782974 0.12438044228608512 0 0.022438673141744622 0.89754693 0. 5.5971199 3.38515577 9.8798226 
2145 -0.14339227376888175 -13.67613769030146 0.0 0.0 0.0 0.0 0.14615260165751276 0.12644869917124363 0 0.01970390248626913 0.7881561 0. 5.69019146 3.31713008 9.79547765 
2146 -0.22333718165378968 -13.899474871955249 0.0 0.0 0.0 0.0 0.14407253941895454 0.12922373029052273 0 0.014848809128431811 0.59395237 4.99600361e-16 5.81506786 3.17842697 9.5874472 
2147 -0.27915909359143143 -14.17863396554668 0.0 0.0 0.0 0.0 0.1414123870177726 0.13228880649111371 0 0.009123580526658875 0.36494322 2.77555756e-16 5.95299629 3.01071935 9.32865886 
2148 -0.29590057314709384 -14.474534538693774 0.0 0.0 0.0 0.0 0.13916103745331215 0.13514948127334392 0 0.004011556179968234 0.16046225 3.33066907e-16 6.08172666 2.86345187 9.10564078 
2149 -0.26907575421586216 -14.743610292909636 0.0 0.0 0.0 0.0 0.13819784533760338 0.13736607733119832 0 0.0008317680064050537 0.03327072 2.22044605e-16 6.18147348 2.78059227 8.99533647 
2150 -0.20587232521842225 -14.949482618128059 0.0 0.0 0.0 0.0 0.13905700453675934 0.13867149773162032 0 0.0003855068051390187 0.01542027 3.88578059e-16 6.2402174 2.78885023 9.0444879 
2151 -0.12322559378827691 -15.072708211916336 0.0 0.0 0.0 0.0 0.1417844113556056 0.1390427943221972 0 0.002741617033408389 0.10966468 2.77555756e-16 6.25692574 2.89052057 9.25711099 
2152 -0.04328068476371527 -15.11598889668005 0.0 0.0 0.0 0.0 0.14592536665957906 0.13870731667021047 0 0.007218049989368591 0.288722 0. 6.24182925 3.06286833 9.59341958 
2153 0.01254122813139702 -15.103447668548654 0.0 0.0 0.0 0.0 0.15064641214036423 0.1380817939298179 0 0.01256461821054633 0.50258473 4.4408921e-16 6.21368073 3.26422061 9.98048606 
